PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
PJ Washington,PF,11.39,3.43,3.20,27.0,34.0,3
Austin Wiley,C,12.79,3.27,3.30,28.0,33.5,14
Kris Wilkes,SF,11.29,3.16,3.24,28.0,35.5,1
Kenrich Williams,SF,10.86,3.28,3.19,28.0,33.0,14
Trae Young,PG,-,-,-,-,-,-
Edrice Adebayo,PF-C,11.94,3.24,3.24,33.5,38.5,12
Rawle Alkins,SG-SF,11.99,3.18,3.30,31.5,40.5,7
Jarrett Allen,C,11.82,3.00,3.21,31.5,35.5,4
Kadeem Allen,PG,11.24,2.98,3.15,33.0,35.5,7
Ike Anigbogu,C,12.52,3.48,3.44,29.5,32.5,11
OG Anunoby,SF,-,-,-,-,-,-
Jamel Artis,SG-SF,11.62,3.08,3.44,23.5,31.0,5
Dwayne Bacon,SG-SF,11.70,3.22,3.22,30.0,36.5,8
V.J. Beachem,SG-SF,11.18,3.19,3.26,30.0,37.0,11
Jordan Bell,PF,10.63,2.83,3.21,31.5,38.0,16
Jaron Blossomgame,SF,11.47,3.35,3.17,31.0,35.5,16
Chris Boucher,PF,-,-,-,-,-,-
Tony Bradley,C,11.79,2.99,3.44,24.5,27.5,5
Isaiah Briscoe,PG,10.95,2.85,3.38,28.0,33.5,11
Dillon Brooks,SG-SF,11.14,3.24,3.21,31.0,37.5,16
Thomas Bryant,PF-C,11.42,3.12,3.37,25.5,33.0,7
Zach Collins,PF-C,-,-,-,-,-,-
John Collins,PF,11.66,3.27,3.27,33.0,37.5,15
Hamidou Diallo,SG-SF,10.88,2.79,3.11,34.5,44.5,-
Tyler Dorsey,SG,10.55,2.98,3.16,30.5,36.0,8
Damyean Dotson,SG-SF,11.18,3.03,3.13,31.5,38.0,13
PJ Dozier,SG,10.84,2.98,3.15,34.0,39.0,9
Jawun Evans,PG,11.34,3.26,3.21,27.5,33.5,1
Terrance Ferguson,SG-SF,11.16,3.22,3.32,28.5,38.0,-
De?Aaron Fox,PG,-,-,-,-,-,-
Markelle Fultz,PG,-,-,-,-,-,-
Harry Giles,PF,11.08,3.00,3.34,27.0,32.5,5
Josh Hart,SG-SF,11.15,3.02,3.18,27.5,35.5,9
Nigel Hayes,PF,11.81,2.94,3.27,29.0,33.5,16
Isaiah Hicks,PF,12.31,3.31,3.36,31.5,37.0,11
Wesley Iwundu,SG-SF,11.25,3.23,3.36,31.5,36.0,5
Frank Jackson,PG,10.94,2.70,3.14,34.5,42.0,9
Justin Jackson (UMD),SF,11.78,3.08,3.43,26.5,31.5,-
Justin Jackson (UNC),SF,10.80,3.06,3.30,29.5,35.5,-
Peter Jok,SG-SF,11.34,2.93,3.41,26.5,31.0,-
Luke Kennard,SG-SF,-,-,-,-,-,-
