Player,Team,Number,Position,Height,Weight,Last Attended,Country
DorianFinney-Smith,DAL,10,F,200.66,99.79024,Florida,USA
MalachiFlynn,TOR,22,G,185.42000000000002,79.3786,San Diego State,USA
SimoneFontecchio,UTA,16,F,200.66,94.80072799999999,Baskonia,Italy
BrynForbes,MIN,10,G,187.96,92.98636,Michigan State,USA
TrentForrest,ATL,2,G,193.04,95.25431999999999,Florida State,USA
MichaelFoster Jr.,PHI,35,F,203.2,113.398,NBA G League Ignite,USA
EvanFournier,NYK,13,G-F,198.12,92.98636,Poitiers Basket 86,France
De'AaronFox,SAC,5,G,190.5,83.91452,Kentucky,USA
MarkelleFultz,ORL,20,G,193.04,94.80072799999999,Washington,USA
WenyenGabriel,LAL,35,F,205.74,92.98636,Kentucky,South Sudan
DanielGafford,WAS,21,F-C,208.28,106.140528,Arkansas,USA
DaniloGallinari,BOS,8,F,208.28,107.047712,Olimpia Milano,Italy
DariusGarland,CLE,10,G,185.42000000000002,87.089664,Vanderbilt,USA
UsmanGaruba,HOU,16,F,203.2,103.872568,Real Madrid,Spain
SethCurry,BKN,30,G,185.42000000000002,83.91452,Duke,USA
StephenCurry,GSW,30,G,187.96,83.91452,Davidson,USA
DysonDaniels,NOP,11,G,200.66,90.264808,NBA G League Ignite,Australia
AnthonyDavis,LAL,3,F-C,208.28,114.758776,Kentucky,USA
JohnnyDavis,WAS,1,G,193.04,88.45044,Wisconsin,USA
TerenceDavis,SAC,3,G,193.04,91.171992,Mississippi,USA
JDDavison,BOS,20,G,185.42000000000002,88.45044,Alabama,USA
DariusDays,HOU,5,F,200.66,111.13004,Louisiana State,USA
DeMarDeRozan,CHI,11,G-F,198.12,99.79024,Southern California,USA
DewayneDedmon,MIA,21,C,208.28,111.13004,Southern California,USA
MatthewDellavedova,SAC,8,G,190.5,90.7184,St. Mary's,Australia
DonteDiVincenzo,GSW,0,G,193.04,92.079176,Villanova,USA
MoussaDiabate,LAC,25,F,208.28,95.25431999999999,Michigan,France
MamadiDiakite,CLE,21,F,205.74,103.418976,Virginia,Guinea
HamidouDiallo,DET,6,G,195.58,91.625584,Kentucky,USA
GorguiDieng,SAS,41,C,208.28,112.490816,Louisville,Senegal
OusmaneDieng,OKC,13,F,205.74,83.91452,New Zealand Breakers,France
SpencerDinwiddie,DAL,26,G,195.58,97.52228,Colorado,USA
LukaDoncic,DAL,77,F-G,200.66,104.32616,Real Madrid,Slovenia
TylerDorsey,DAL,22,G,193.04,81.64656,Oregon,USA
LuguentzDort,OKC,5,G,193.04,99.79024,Arizona State,Canada
AyoDosunmu,CHI,12,G,195.58,90.7184,Illinois,USA
JeffDowtin Jr.,TOR,20,G,190.5,80.28578399999999,Rhode Island,USA
GoranDragic,CHI,7,G,193.04,86.18248,Union Olimpija,Slovenia
AndreDrummond,CHI,3,C,210.82,126.552168,Connecticut,USA
ChrisDuarte,IND,3,G,195.58,86.18248,Oregon,Dominican Republic
DavidDuke Jr.,BKN,6,G,193.04,92.532768,Providence,USA
KevinDurant,BKN,7,F,208.28,108.86207999999999,Texas,USA
JalenDuren,DET,0,C,210.82,113.398,Memphis,USA
TariEason,HOU,17,F,203.2,97.52228,Louisiana State,USA
AnthonyEdwards,MIN,1,G,193.04,102.0582,Georgia,USA
KesslerEdwards,BKN,14,F,200.66,92.079176,Pepperdine,USA
KeonEllis,SAC,23,G,190.5,79.3786,Alabama,USA
JoelEmbiid,PHI,21,C-F,213.36,127.00576,Kansas,Cameroon
DrewEubanks,POR,24,F-C,208.28,111.13004,Oregon State,USA
BrunoFernando,HOU,20,F-C,208.28,108.86207999999999,Maryland,Angola
DorianFinney-Smith,DAL,10,F,200.66,99.79024,Florida,USA
MalachiFlynn,TOR,22,G,185.42000000000002,79.3786,San Diego State,USA
SimoneFontecchio,UTA,16,F,200.66,94.80072799999999,Baskonia,Italy
BrynForbes,MIN,10,G,187.96,92.98636,Michigan State,USA
TrentForrest,ATL,2,G,193.04,95.25431999999999,Florida State,USA
MichaelFoster Jr.,PHI,35,F,203.2,113.398,NBA G League Ignite,USA
EvanFournier,NYK,13,G-F,198.12,92.98636,Poitiers Basket 86,France
De'AaronFox,SAC,5,G,190.5,83.91452,Kentucky,USA
MarkelleFultz,ORL,20,G,193.04,94.80072799999999,Washington,USA
WenyenGabriel,LAL,35,F,205.74,92.98636,Kentucky,South Sudan
DanielGafford,WAS,21,F-C,208.28,106.140528,Arkansas,USA
DaniloGallinari,BOS,8,F,208.28,107.047712,Olimpia Milano,Italy
DariusGarland,CLE,10,G,185.42000000000002,87.089664,Vanderbilt,USA
UsmanGaruba,HOU,16,F,203.2,103.872568,Real Madrid,Spain
LukaGarza,MIN,55,C,208.28,110.222856,Iowa,USA
RudyGay,UTA,22,F-G,203.2,113.398,Connecticut,USA
PaulGeorge,LAC,13,F,203.2,99.79024,Fresno State,USA
TajGibson,WAS,67,F,205.74,105.233344,Southern California,USA
JoshGiddey,OKC,3,G,203.2,97.975872,NBA Global Academy,Australia
ShaiGilgeous-Alexander,OKC,2,G,198.12,88.45044,Kentucky,Canada
AnthonyGill,WAS,16,F,203.2,104.32616,Virginia,USA
CollinGillespie,DEN,21,G,185.42000000000002,88.45044,Villanova,USA
RudyGobert,MIN,27,C,215.9,117.026736,Cholet,France
JordanGoodwin,WAS,7,G,190.5,90.7184,St. Louis,USA
AaronGordon,DEN,50,F,203.2,106.59412,Arizona,USA
EricGordon,HOU,10,G,190.5,97.52228,Indiana,USA
Devonte'Graham,NOP,4,G,185.42000000000002,88.45044,Kansas,USA
JeramiGrant,POR,9,F,203.2,95.25431999999999,Syracuse,USA
A.J.Green,MIL,20,G,195.58,86.18248,Northern Iowa,USA
DannyGreen,MEM,14,G,198.12,97.52228,North Carolina,USA
DraymondGreen,GSW,23,F,198.12,104.32616,Michigan State,USA
JaMychalGreen,GSW,1,F-C,205.74,102.965384,Alabama,USA
JalenGreen,HOU,4,G,193.04,84.368112,NBA G League Ignite,USA
JavonteGreen,CHI,24,G-F,195.58,92.98636,Radford,USA
JeffGreen,DEN,32,F,203.2,106.59412,Georgetown,USA
JoshGreen,DAL,8,G,200.66,90.7184,Arizona,Australia
AJGriffin,ATL,14,F,198.12,99.79024,Duke,USA
BlakeGriffin,BOS,91,F,205.74,113.398,Oklahoma,USA
QuentinGrimes,NYK,6,G,195.58,95.25431999999999,Houston,USA
RuiHachimura,WAS,8,F,203.2,104.32616,Gonzaga,Japan
TyreseHaliburton,IND,0,G,195.58,83.91452,Iowa State,USA
JordanHall,SAS,55,G,200.66,97.52228,St. Joseph's (PA),USA
R.J.Hampton,ORL,13,G,193.04,79.3786,New Zealand Breakers,USA
TimHardaway Jr.,DAL,11,G-F,195.58,92.98636,Michigan,USA
JamesHarden,PHI,1,G,195.58,99.79024,Arizona State,USA
JadenHardy,DAL,3,G,190.5,89.811216,NBA G League Ignite,USA
RonHarper Jr.,TOR,8,F,195.58,111.13004,Rutgers,USA
MontrezlHarrell,PHI,5,F-C,200.66,108.86207999999999,Louisville,USA
GaryHarris,ORL,14,G,193.04,95.25431999999999,Michigan State,USA
JoeHarris,BKN,12,G-F,198.12,99.79024,Virginia,USA
KevonHarris,ORL,7,G,198.12,97.975872,Stephen F. Austin,USA
TobiasHarris,PHI,12,F,200.66,102.511792,Tennessee,USA
JoshHart,POR,11,G,193.04,97.52228,Villanova,USA
IsaiahHartenstein,NYK,55,C-F,213.36,113.398,Zalgiris,Germany
UdonisHaslem,MIA,40,F,200.66,106.59412,Florida,USA
SamHauser,BOS,30,F,200.66,98.429464,Virginia,USA
JaxsonHayes,NOP,10,C-F,213.36,99.79024,Texas,USA
KillianHayes,DET,7,G,195.58,88.45044,Ratiopharm Ulm,France
GordonHayward,CHA,20,F,200.66,102.0582,Butler,USA
JuanchoHernangomez,TOR,41,F,205.74,97.068688,Estudiantes,Spain
WillyHernangomez,NOP,9,C-F,210.82,113.398,Cajasol Sevilla,Spain
TylerHerro,MIA,14,G,195.58,88.45044,Kentucky,USA
BuddyHield,IND,24,G,193.04,99.79024,Oklahoma,Bahamas
HaywoodHighsmith,MIA,24,F,195.58,99.79024,Wheeling Jesuit,USA
LukaGarza,MIN,55,C,208.28,110.222856,Iowa,USA
RudyGay,UTA,22,F-G,203.2,113.398,Connecticut,USA
PaulGeorge,LAC,13,F,203.2,99.79024,Fresno State,USA
TajGibson,WAS,67,F,205.74,105.233344,Southern California,USA
JoshGiddey,OKC,3,G,203.2,97.975872,NBA Global Academy,Australia
ShaiGilgeous-Alexander,OKC,2,G,198.12,88.45044,Kentucky,Canada
AnthonyGill,WAS,16,F,203.2,104.32616,Virginia,USA
CollinGillespie,DEN,21,G,185.42000000000002,88.45044,Villanova,USA
RudyGobert,MIN,27,C,215.9,117.026736,Cholet,France
JordanGoodwin,WAS,7,G,190.5,90.7184,St. Louis,USA
AaronGordon,DEN,50,F,203.2,106.59412,Arizona,USA
EricGordon,HOU,10,G,190.5,97.52228,Indiana,USA
Devonte'Graham,NOP,4,G,185.42000000000002,88.45044,Kansas,USA
JeramiGrant,POR,9,F,203.2,95.25431999999999,Syracuse,USA
A.J.Green,MIL,20,G,195.58,86.18248,Northern Iowa,USA
DannyGreen,MEM,14,G,198.12,97.52228,North Carolina,USA
DraymondGreen,GSW,23,F,198.12,104.32616,Michigan State,USA
JaMychalGreen,GSW,1,F-C,205.74,102.965384,Alabama,USA
JalenGreen,HOU,4,G,193.04,84.368112,NBA G League Ignite,USA
JavonteGreen,CHI,24,G-F,195.58,92.98636,Radford,USA
JeffGreen,DEN,32,F,203.2,106.59412,Georgetown,USA
JoshGreen,DAL,8,G,200.66,90.7184,Arizona,Australia
AJGriffin,ATL,14,F,198.12,99.79024,Duke,USA
BlakeGriffin,BOS,91,F,205.74,113.398,Oklahoma,USA
QuentinGrimes,NYK,6,G,195.58,95.25431999999999,Houston,USA
RuiHachimura,WAS,8,F,203.2,104.32616,Gonzaga,Japan
TyreseHaliburton,IND,0,G,195.58,83.91452,Iowa State,USA
JordanHall,SAS,55,G,200.66,97.52228,St. Joseph's (PA),USA
R.J.Hampton,ORL,13,G,193.04,79.3786,New Zealand Breakers,USA
TimHardaway Jr.,DAL,11,G-F,195.58,92.98636,Michigan,USA
JamesHarden,PHI,1,G,195.58,99.79024,Arizona State,USA
JadenHardy,DAL,3,G,190.5,89.811216,NBA G League Ignite,USA
RonHarper Jr.,TOR,8,F,195.58,111.13004,Rutgers,USA
MontrezlHarrell,PHI,5,F-C,200.66,108.86207999999999,Louisville,USA
GaryHarris,ORL,14,G,193.04,95.25431999999999,Michigan State,USA
JoeHarris,BKN,12,G-F,198.12,99.79024,Virginia,USA
KevonHarris,ORL,7,G,198.12,97.975872,Stephen F. Austin,USA
TobiasHarris,PHI,12,F,200.66,102.511792,Tennessee,USA
JoshHart,POR,11,G,193.04,97.52228,Villanova,USA
IsaiahHartenstein,NYK,55,C-F,213.36,113.398,Zalgiris,Germany
UdonisHaslem,MIA,40,F,200.66,106.59412,Florida,USA
SamHauser,BOS,30,F,200.66,98.429464,Virginia,USA
JaxsonHayes,NOP,10,C-F,213.36,99.79024,Texas,USA
KillianHayes,DET,7,G,195.58,88.45044,Ratiopharm Ulm,France
GordonHayward,CHA,20,F,200.66,102.0582,Butler,USA
JuanchoHernangomez,TOR,41,F,205.74,97.068688,Estudiantes,Spain
WillyHernangomez,NOP,9,C-F,210.82,113.398,Cajasol Sevilla,Spain
TylerHerro,MIA,14,G,195.58,88.45044,Kentucky,USA
BuddyHield,IND,24,G,193.04,99.79024,Oklahoma,Bahamas
HaywoodHighsmith,MIA,24,F,195.58,99.79024,Wheeling Jesuit,USA
GeorgeHill,MIL,3,G,193.04,85.275296,Indiana-Purdue Indianapolis,USA
MalcolmHill,CHI,14,F,198.12,99.79024,Illinois,USA
AaronHoliday,ATL,3,G,182.88,83.91452,UCLA,USA
JrueHoliday,MIL,21,G,195.58,92.98636,UCLA,USA
JustinHoliday,ATL,8,F-G,198.12,81.64656,Washington,USA
RichaunHolmes,SAC,22,F,203.2,106.59412,Bowling Green,USA
ChetHolmgren,OKC,7,C-F,215.9,88.45044,Gonzaga,USA
AlHorford,BOS,42,C-F,205.74,108.86207999999999,Florida,Dominican Republic
TalenHorton-Tucker,UTA,0,G,193.04,106.140528,Iowa State,USA
DanuelHouse Jr.,PHI,25,F-G,198.12,99.79024,Texas A&M,USA
CalebHoustan,ORL,2,G,203.2,92.98636,Michigan,Canada
TrevorHudgins,HOU,12,G,182.88,81.64656,Northwest Missouri State,USA
KevinHuerter,SAC,9,G-F,200.66,89.811216,Maryland,USA
FeronHunt,NYK,44,F,203.2,88.45044,Southern Methodist,USA
De'AndreHunter,ATL,12,F-G,203.2,100.243832,Virginia,USA
BonesHyland,DEN,3,G,187.96,76.657048,Virginia Commonwealth,USA
SergeIbaka,MIL,25,F,210.82,106.59412,Ricoh Manresa,Republic of the Congo
AndreIguodala,GSW,9,G-F,198.12,97.52228,Arizona,USA
JoeIngles,MIL,7,F-G,205.74,99.79024,Maccabi Tel Aviv,Australia
BrandonIngram,NOP,14,F,203.2,86.18248,Duke,USA
KyrieIrving,BKN,11,G,187.96,88.45044,Duke,Australia
JonathanIsaac,ORL,1,F,208.28,104.32616,Florida State,USA
JadenIvey,DET,23,G,193.04,88.45044,Purdue,USA
IsaiahJackson,IND,22,F,205.74,92.98636,Kentucky,USA
JustinJackson,BOS,44,F,203.2,99.79024,North Carolina,USA
ReggieJackson,LAC,1,G,187.96,94.347136,Boston College,USA
JarenJackson Jr.,MEM,13,F-C,208.28,109.76926399999999,Michigan State,USA
LeBronJames,LAL,6,F,205.74,113.398,St. Vincent-St. Mary HS (OH),USA
TyJerome,GSW,10,G-F,195.58,88.45044,Virginia,USA
IsaiahJoe,OKC,11,G,190.5,74.84268,Arkansas,USA
CameronJohnson,PHX,23,F,203.2,95.25431999999999,North Carolina,USA
JalenJohnson,ATL,1,F,203.2,99.336648,Duke,USA
JamesJohnson,IND,16,F,200.66,108.86207999999999,Wake Forest,USA
KeldonJohnson,SAS,3,F-G,195.58,99.79024,Kentucky,USA
KeonJohnson,POR,6,G,190.5,83.91452,Tennessee,USA
NikolaJokic,DEN,15,C,210.82,128.820128,Mega Basket,Serbia
DamianJones,LAL,30,C,210.82,111.13004,Vanderbilt,USA
HerbertJones,NOP,5,F,200.66,93.439952,Alabama,USA
KaiJones,CHA,23,C-F,210.82,100.243832,Texas,Bahamas
TreJones,SAS,33,G,185.42000000000002,83.91452,Duke,USA
