Player,Team,Number,Position,Height,Weight,Last Attended,Country
DavidThompson,DEN,33,G,193.04,88.45044,North Carolina State,USA
DijonThompson,PHX,,G-F,203.2,90.7184,UCLA,USA
GeorgeThompson,MIL,24,G,187.96,90.7184,Marquette,USA
HollisThompson,PHI,31,G-F,203.2,93.439952,Georgetown,USA
JasonThompson,SAC,1,F-C,210.82,113.398,Rider University,USA
JohnThompson,BOS,5,F,208.28,102.0582,Providence,USA
KevinThompson,POR,35,C,210.82,117.93392,North Carolina State,USA
KlayThompson,GSW,11,G,198.12,99.79024,Washington State,USA
LaSalleThompson,SAC,41,C-F,208.28,117.93392,Texas-Austin,USA
MychalThompson,POR,43,C,208.28,102.511792,Minnesota,USA
MychelThompson,CLE,21,F,198.12,95.707912,Pepperdine,USA
PaulThompson,CLE,44,G,198.12,95.25431999999999,Tulane,USA
StephenThompson,SAC,5,F,193.04,83.91452,Syracuse,USA
TristanThompson,CHI,3,C-F,205.74,115.212368,University of Texas at Austin,Canada
JTThor,CHA,21,F,205.74,92.079176,Auburn,USA
RodThorn,OKC,44,G,193.04,88.45044,West Virginia,USA
AlThornton,LAC,23,F,203.2,106.59412,Florida State,USA
BobThornton,PHI,34,F,208.28,102.0582,California-Irvine,USA
MarcusThornton,SAC,15,F-G,193.04,92.98636,Louisiana State,USA
SindariusThornwell,LAC,15,G,193.04,97.52228,South Carolina,USA
OtisThorpe,HOU,52,C-F,208.28,112.490816,Providence,USA
SedaleThreatt,LAL,2,G,187.96,83.91452,West Virginia Tech,USA
NateThurmond,GSW,42,C,210.82,102.0582,Bowling Green,USA
MelThurston,PRO,,G,182.88,79.3786,Canisius,USA
MatisseThybulle,PHI,22,G-F,195.58,91.171992,Washington,USA
HowardTidrick,BAL,,,0.0,0.0,Washington & Jefferson,USA
DanTieman,SAC,41,G,182.88,83.91452,Thomas More,USA
KillianTillie,MEM,35,F-C,205.74,99.79024,Gonzaga,France
DarrenTillis,GSW,22,C,210.82,97.52228,Cleveland State,USA
XavierTillman,MEM,2,F,200.66,111.13004,Michigan State,USA
JackTingle,WAS,,F,193.04,92.98636,Kentucky,USA
JamaalTinsley,IND,6,G,190.5,89.357624,Iowa State,USA
WaymanTisdale,SAC,23,F,205.74,117.93392,Oklahoma,USA
MikeTobey,CHA,10,C,213.36,117.93392,Virginia,USA
IsaiahTodd,WAS,14,F,205.74,99.336648,NBA G League Ignite,USA
MarkoTodorovich,ATL,19,F,195.58,99.79024,Wyoming,USA
RayTolbert,OKC,44,F,205.74,102.0582,Indiana,USA
TomTolbert,GSW,39,F,200.66,106.59412,Arizona,USA
AnthonyTolliver,DET,43,F,203.2,108.86207999999999,Creighton,USA
DeanTolson,OKC,20,F,203.2,86.18248,Arkansas,USA
RudyTomjanovich,HOU,45,F,203.2,98.883056,Michigan,USA
AndrewToney,PHI,22,G,190.5,80.739376,Louisiana-Lafayette,USA
SedricToney,ATL,4,G,187.96,80.739376,Dayton,USA
AndyTonkovich,PRO,,G,185.42000000000002,83.91452,Marshall,USA
AndyToolson,UTA,5,F,198.12,95.25431999999999,Brigham Young,USA
JackToomay,DN,,C,198.12,97.52228,Pacific,USA
BernardToone,PHI,3,F,205.74,95.25431999999999,Marquette,USA
ObiToppin,NYK,1,F,205.74,99.79024,Dayton,USA
IrvTorgoff,WAS,,F,185.42000000000002,87.089664,Long Island-Brooklyn,USA
GeneTormohlen,ATL,34,C,203.2,104.32616,Tennessee,USA
